TimeStamp,Difficulty
2015-07-31,52278304845.5917
2015-08-03,52278304845.5917
2015-08-06,52278304845.5917
2015-08-09,52699842409.347
2015-08-12,52699842409.347
2015-08-15,52699842409.347
2015-08-18,52699842409.347
2015-08-21,52699842409.347
2015-08-24,54256630327.89
2015-08-27,54256630327.89
2015-08-30,54256630327.89
2015-09-02,54256630327.89
2015-09-05,56957648455.01
2015-09-08,56957648455.01
2015-09-11,56957648455.01
2015-09-14,56957648455.01
2015-09-17,56957648455.01
2015-09-20,59335351233.8666
2015-09-23,59335351233.8666
2015-09-26,59335351233.8666
2015-09-29,59335351233.8666
2015-10-02,60813224039.4403
2015-10-05,60813224039.4403
2015-10-08,60813224039.4403
2015-10-11,60813224039.4403
2015-10-14,60813224039.4403
2015-10-17,60883825480.0983
2015-10-20,60883825480.0983
2015-10-23,60883825480.0983
2015-10-26,60883825480.0983
2015-10-29,62253982449.7608
2015-11-01,62253982449.7608
2015-11-0400:00:00,62253982449.7608
2015-11-0700:00:00,62253982449.7608
2015-11-1000:00:00,62253982449.7608
2015-11-1300:00:00,65848255179.7026
2015-11-1600:00:00,65848255179.7026
2015-11-1900:00:00,65848255179.7026
2015-11-2200:00:00,65848255179.7026
2015-11-2500:00:00,72722780642.5472
2015-11-2800:00:00,72722780642.5472
2015-12-0100:00:00,72722780642.5472
2015-12-0400:00:00,72722780642.5472
2015-12-0700:00:00,79102380900.226
2015-12-1000:00:00,79102380900.226
2015-12-1300:00:00,79102380900.226
2015-12-1600:00:00,79102380900.226
2015-12-1900:00:00,93448670796.3238
2015-12-2200:00:00,93448670796.3238
2015-12-2500:00:00,93448670796.3238
2015-12-2800:00:00,93448670796.3238
2015-12-3100:00:00,103880340815.456
2016-01-0300:00:00,103880340815.456
2016-01-0600:00:00,103880340815.456
2016-01-0900:00:00,103880340815.456
2016-01-1200:00:00,103880340815.456
2016-01-1500:00:00,113354299801.471
2016-01-1800:00:00,113354299801.471
2016-01-2100:00:00,113354299801.471
2016-01-2400:00:00,113354299801.471
2016-01-2700:00:00,120033340651.237
2016-01-3000:00:00,120033340651.237
2016-02-0200:00:00,120033340651.237
2016-02-0500:00:00,120033340651.237
2016-02-0800:00:00,144116447847.349
2016-02-1100:00:00,144116447847.349
2016-02-1400:00:00,144116447847.349
2016-02-1700:00:00,144116447847.349
2016-02-2000:00:00,163491654908.959
2016-02-2300:00:00,163491654908.959
2016-02-2600:00:00,163491654908.959
2016-02-2900:00:00,163491654908.959
2016-03-0300:00:00,163491654908.959
2016-03-0600:00:00,158427203767.392
2016-03-0900:00:00,158427203767.392
2016-03-1200:00:00,158427203767.392
2016-03-15,158427203767.392
2016-03-18,165496835118.226
2016-03-21,165496835118.226
2016-03-24,165496835118.226
2016-03-27,165496835118.226
2016-03-30,165496835118.226
2016-04-02,166851513282.777
2016-04-05,166851513282.777
2016-04-08,166851513282.777
2016-04-11,166851513282.777
2016-04-14,178678307671.688
2016-04-17,178678307671.688
2016-04-20,178678307671
2016-04-23,178678307671
2016-04-26,178678307671
2016-04-29,178659257772
2016-05-02,178659257772
2016-05-05,178659257772
2016-05-08,178659257772
2016-05-11,190502504490.88
2016-05-14,194254820283
2016-05-17,194254820283
2016-05-20,194254820283
2016-05-23,194254820283
2016-05-26,199312067531
2016-05-29,199312067531
2016-06-01,199312067531
2016-06-04,199312067531
2016-06-07,199312067531
2016-06-10,196061423939
2016-06-13,196061423939.25
2016-06-16,196061423939
2016-06-19,196061423939
2016-06-22,209453158595
2016-06-25,209453158595
2016-06-28,209453158595
2016-07-01,209453158595
2016-07-04,209557682217.146
2016-07-07,213398925331
2016-07-10,213398925331
2016-07-13,213398925331
2016-07-16,213398925331
2016-07-19,213492501107
2016-07-22,213492501107
2016-07-25,213492501107
2016-07-28,213492501107
2016-07-31,213492501107
2016-08-03,201893210853
2016-08-06,201893210853
2016-08-09,201893210853
2016-08-12,201893210853
2016-08-15,203483855226.699
2016-08-18,217375482757
2016-08-21,217375482757
2016-08-24,217375482757
2016-08-27,217375482757
2016-08-30,220755908330
2016-09-02,220755908330
2016-09-05,220755908330
2016-09-08,220755908330
2016-09-11,220755908330
2016-09-14,225832872179
2016-09-17,225832872179
2016-09-20,225832872179
2016-09-23,225832872179
2016-09-26,241227200229
2016-09-29,241227200229
2016-10-02,241227200229
2016-10-05,241227200229
2016-10-08,250540187707.846
2016-10-11,258522748404
2016-10-14,258522748404
2016-10-17,258522748404
2016-10-20,258522748404
2016-10-23,253618246641
2016-10-26,253618246641
2016-10-29,253618246641
2016-11-01,253618246641
2016-11-04,253618246641
2016-11-0700:00:00,254620187304
2016-11-1000:00:00,254620187304
2016-11-1300:00:00,254620187304
2016-11-1600:00:00,254620187304
2016-11-1900:00:00,281800917193
2016-11-2200:00:00,281800917193
2016-11-2500:00:00,281800917193
2016-11-2800:00:00,281800917193
2016-12-0100:00:00,281800917193
2016-12-0400:00:00,286765766820
2016-12-0700:00:00,286765766820
2016-12-1000:00:00,286765766820
2016-12-1300:00:00,286765766820
2016-12-1600:00:00,310153855703
2016-12-1900:00:00,310153855703
2016-12-2200:00:00,310153855703
2016-12-2500:00:00,310153855703
2016-12-2800:00:00,312083434211.183
2016-12-3100:00:00,317688400354
2017-01-0300:00:00,317688400354
2017-01-0600:00:00,317688400354
2017-01-0900:00:00,317688400354
2017-01-1200:00:00,336899932795
2017-01-1500:00:00,336899932795
2017-01-1800:00:00,336899932795
2017-01-2100:00:00,336899932795
2017-01-2400:00:00,392963262344
2017-01-2700:00:00,392963262344
2017-01-3000:00:00,392963262344
2017-02-0200:00:00,392963262344
2017-02-0500:00:00,422170566883
2017-02-0800:00:00,422170566883
2017-02-1100:00:00,422170566883
2017-02-1400:00:00,422170566883
2017-02-1700:00:00,422170566883
2017-02-2000:00:00,440779902286
2017-02-2300:00:00,440779902286
2017-02-2600:00:00,440779902286
2017-03-0100:00:00,440779902286
2017-03-0400:00:00,460769358090
2017-03-0700:00:00,460769358090
2017-03-1000:00:00,460769358090
2017-03-13,460769358090
2017-03-16,460769358090
2017-03-19,475705205061
2017-03-22,475705205061
2017-03-25,475705205061
2017-03-28,475705205061
2017-03-31,499635929816
2017-04-03,499635929816
2017-04-06,499635929816
2017-04-09,499635929816
2017-04-12,499635929816
2017-04-15,520808749422
2017-04-18,520808749422
2017-04-21,520808749422
2017-04-24,520808749422
2017-04-27,521839702599.075
2017-04-30,521974519553
2017-05-03,521974519553
2017-05-06,521974519553
2017-05-09,521974519553
2017-05-12,559970892890
2017-05-15,559970892890
2017-05-18,559970892890
2017-05-21,559970892890
2017-05-24,595921917085
2017-05-27,595921917085
2017-05-30,595921917085
2017-06-02,595921917085
2017-06-05,678760110082
2017-06-08,678760110082
2017-06-11,678760110082
2017-06-14,678760110082
2017-06-17,679668719408.648
2017-06-20,711697198173
2017-06-23,711697198173
2017-06-26,711697198173
2017-06-29,711697198173
2017-07-02,708707940675.899
2017-07-05,708659466230
2017-07-08,708659466230
2017-07-11,708659466230
2017-07-14,761764941640.259
2017-07-17,804525194568
2017-07-20,804525194568
2017-07-23,804525194568
2017-07-26,804525194568
2017-07-29,860221984436
2017-08-01,860221984436
2017-08-04,860221984436
2017-08-07,860221984436
2017-08-10,923233068448
2017-08-13,923233068448
2017-08-16,923233068448
2017-08-19,923233068448
2017-08-22,923233068448
2017-08-25,888171856257
2017-08-28,888171856257
2017-08-31,888171856257
2017-09-03,888171856257
2017-09-06,903315386418.901
2017-09-09,922724699725
2017-09-12,922724699725
2017-09-15,922724699725
2017-09-18,1052185622754.52
2017-09-21,1103400932964
2017-09-24,1103400932964
2017-09-27,1103400932964
2017-09-30,1103400932964
2017-10-03,1123863285132
2017-10-06,1123863285132
2017-10-09,1123863285132
2017-10-12,1123863285132
2017-10-15,1182954806242.91
2017-10-18,1196792694098
2017-10-21,1196792694098
2017-10-24,1196792694098
2017-10-27,1452839779145
2017-10-30,1452839779145
2017-11-02,1452839779145
2017-11-05,1452839779145
2017-11-0800:00:00,1452839779145
2017-11-1100:00:00,1364422081125
2017-11-1400:00:00,1364422081125
2017-11-1700:00:00,1364422081125
2017-11-2000:00:00,1364422081125
2017-11-2300:00:00,1364422081125
2017-11-2600:00:00,1347001430558
2017-11-2900:00:00,1347001430558
2017-12-0200:00:00,1347001430558
2017-12-0500:00:00,1347001430558
2017-12-0800:00:00,1590896927258
2017-12-1100:00:00,1590896927258
2017-12-1400:00:00,1590896927258
2017-12-1700:00:00,1590896927258
2017-12-2000:00:00,1873105475221
2017-12-2300:00:00,1873105475221
2017-12-2600:00:00,1873105475221
2017-12-2900:00:00,1873105475221
2018-01-0100:00:00,1922580604979.83
2018-01-0400:00:00,1931136454487
2018-01-0700:00:00,1931136454487
2018-01-1000:00:00,1931136454487
2018-01-1300:00:00,2134254177773.12
2018-01-1600:00:00,2227847638503
2018-01-1900:00:00,2227847638503
2018-01-2200:00:00,2227847638503
2018-01-2500:00:00,2460585023617.37
2018-01-2800:00:00,2603077300218
2018-01-3100:00:00,2603077300218
2018-02-0300:00:00,2603077300218
2018-02-0600:00:00,2607870187292.06
2018-02-0900:00:00,2874674234415
2018-02-1200:00:00,2874674234415
2018-02-1500:00:00,2874674234415
2018-02-1800:00:00,2874674234415
2018-02-2100:00:00,3007383866429
2018-02-2400:00:00,3007383866429
2018-02-2700:00:00,3007383866429
2018-03-0200:00:00,3007383866429
2018-03-0500:00:00,3233581400367.21
2018-03-0800:00:00,3290605988755
2018-03-1100:00:00,3290605988755
2018-03-14,3290605988755
2018-03-17,3290605988755
2018-03-20,3462542391191
2018-03-23,3462542391191
2018-03-26,3462542391191
2018-03-29,3462542391191
2018-04-01,3494288842678.95
2018-04-04,3511060552899
2018-04-07,3511060552899
2018-04-10,3511060552899
2018-04-13,3511060552899
2018-04-16,3839316899029
2018-04-19,3839316899029
2018-04-22,3839316899029
2018-04-25,3839316899029
2018-04-28,4022059196164
2018-05-01,4022059196164
2018-05-04,4022059196164
2018-05-07,4022059196164
2018-05-10,4022059196164
2018-05-13,4143878474754
2018-05-16,4143878474754
2018-05-19,4143878474754
2018-05-22,4143878474754
2018-05-25,4306949573981
2018-05-28,4306949573981
2018-05-31,4306949573981
2018-06-03,4306949573981
2018-06-06,4940704885521
2018-06-09,4940704885521
2018-06-12,4940704885521
2018-06-15,4940704885521
2018-06-18,4940704885521
2018-06-21,5077499034879
2018-06-24,5077499034879
2018-06-27,5077499034879
2018-06-30,5077499034879
2018-07-03,5363678461481
2018-07-06,5363678461481
2018-07-09,5363678461481
2018-07-12,5363678461481
2018-07-15,5363678461481
2018-07-18,5178671069072
2018-07-21,5178671069072
2018-07-24,5178671069072
2018-07-27,5178671069072
2018-07-30,5949437371609
2018-08-02,5949437371609
2018-08-05,5949437371610
2018-08-08,5949437371610
2018-08-11,6197839919507.6
2018-08-14,6389316883512
2018-08-17,6389316883512
2018-08-20,6389316883512
2018-08-23,6389316883512
2018-08-26,6727225469723
2018-08-29,6727225469723
2018-09-01,6727225469723
2018-09-04,6727225469723
2018-09-07,6971177230937.86
2018-09-10,7019199231177
2018-09-13,7019199231177
2018-09-16,7019199231177
2018-09-19,7019199231177
2018-09-22,7152633351906
2018-09-25,7152633351906
2018-09-28,7152633351906
2018-10-01,7152633351906
2018-10-04,7364268059355.9
2018-10-07,7454968648263
2018-10-10,7454968648263
2018-10-13,7454968648263
2018-10-16,7454968648263
2018-10-19,7182852313938
2018-10-22,7182852313938
2018-10-25,7182852313938
2018-10-28,7182852313938
2018-10-31,7182852313938
2018-11-03,7184404942702
2018-11-0600:00:00,7184404942702
2018-11-0900:00:00,7184404942702
2018-11-1200:00:00,7184404942702
2018-11-1500:00:00,7184404942702
2018-11-1800:00:00,6653303141406
2018-11-2100:00:00,6653303141406
2018-11-2400:00:00,6653303141406
2018-11-2700:00:00,6653303141406
2018-11-3000:00:00,6653303141406
2018-12-0300:00:00,6194015746026.25
2018-12-0600:00:00,5646403851535
2018-12-0900:00:00,5646403851535
2018-12-1200:00:00,5646403851535
2018-12-1500:00:00,5646403851535
2018-12-1800:00:00,5621092245587.73
2018-12-2100:00:00,5106422924660
2018-12-2400:00:00,5106422924660
2018-12-2700:00:00,5106422924660
2018-12-3000:00:00,5106422924660
2019-01-0200:00:00,5618595848853
2019-01-0500:00:00,5618595848853
2019-01-0800:00:00,5618595848853
2019-01-1100:00:00,5618595848853
2019-01-1400:00:00,5862614531725.31
2019-01-1700:00:00,5883988430955
2019-01-2000:00:00,5883988430955
2019-01-2300:00:00,5883988430955
2019-01-2600:00:00,5883988430955
2019-01-2900:00:00,5814661935892
2019-02-0100:00:00,5814661935892
2019-02-0400:00:00,5814661935892
2019-02-0700:00:00,5814661935892
2019-02-1000:00:00,5894008795042.54
2019-02-1300:00:00,6061518831027
2019-02-1600:00:00,6061518831027
2019-02-1900:00:00,6061518831027
2019-02-2200:00:00,6061518831027
2019-02-2500:00:00,6071846049921
2019-02-2800:00:00,6071846049921
2019-03-0300:00:00,6071846049921
2019-03-0600:00:00,6071846049921
2019-03-0900:00:00,6071846049921
2019-03-12,6068891541677
2019-03-15,6068891541677
2019-03-18,6068891541677
2019-03-21,6068891541677
2019-03-24,6368919654419.87
2019-03-27,6379265451411
2019-03-30,6379265451411
2019-04-02,6379265451411
2019-04-05,6379265451411
2019-04-08,6393023717202
2019-04-11,6393023717202
2019-04-14,6393023717202
2019-04-17,6393023717202
2019-04-20,6393023717202
2019-04-23,6353030562984
2019-04-26,6353030562984
2019-04-29,6353030562984
2019-05-02,6353030562984
2019-05-05,6702169884349
2019-05-08,6702169884349
2019-05-11,6702169884349
2019-05-14,6702169884349
2019-05-17,6702169884349
2019-05-20,6704632680587
2019-05-23,6704632680587
2019-05-26,6704632680587
2019-05-29,6704632680587
2019-06-01,7459680720542
2019-06-04,7459680720542
2019-06-07,7459680720542
2019-06-10,7459680720542
2019-06-13,7459680720542
2019-06-16,7409399249090
2019-06-19,7409399249090
2019-06-22,7409399249090
2019-06-25,7409399249090
2019-06-28,7934713219631
2019-07-01,7934713219631
2019-07-04,7934713219631
2019-07-07,7934713219631
2019-07-10,9064159826491
2019-07-13,9064159826491
2019-07-16,9064159826491
2019-07-19,9064159826491
2019-07-22,9064159826491
2019-07-25,9013786945892
2019-07-28,9013786945892
2019-07-31,9013786945892
2019-08-03,9013786945892
2019-08-06,9985348008060
2019-08-09,9985348008060
2019-08-12,9985348008060
2019-08-15,9985348008060
2019-08-18,10016798869144.1
2019-08-21,10183488432890
2019-08-24,10183488432890
2019-08-27,10183488432890
2019-08-30,10183488432890
2019-09-02,10771996663680
2019-09-05,10771996663680
2019-09-08,10771996663680
2019-09-11,10771996663680
2019-09-14,11890594958796
2019-09-17,11890594958796
2019-09-20,11890594958796
2019-09-23,11890594958796
2019-09-26,12017674556107.8
2019-09-29,12759819404409
2019-10-02,12759819404409
2019-10-05,12759819404409
2019-10-08,12759819404409
2019-10-11,13008091666972
2019-10-14,13008091666972
2019-10-17,13008091666972
2019-10-20,13008091666972
2019-10-23,13069108485875.8
2019-10-26,13691480038694
2019-10-29,13691480038694
2019-11-01,13691480038694
2019-11-0400:00:00,13691480038694
2019-11-0700:00:00,13669891710442.8
2019-11-1000:00:00,12720005267391
2019-11-1300:00:00,12720005267391
2019-11-1600:00:00,12720005267391
2019-11-1900:00:00,12720005267391
2019-11-2200:00:00,12973235968800
2019-11-2500:00:00,12973235968800
2019-11-2800:00:00,12973235968800
2019-12-0100:00:00,12973235968800
2019-12-0400:00:00,12973235968800
2019-12-0700:00:00,12876842089682
2019-12-1000:00:00,12876842089682
2019-12-1300:00:00,12876842089682
2019-12-1600:00:00,12876842089682
2019-12-1900:00:00,12892837609390.5
2019-12-2200:00:00,12948593420946
2019-12-2500:00:00,12948593420946
2019-12-2800:00:00,12948593420946
2019-12-3100:00:00,12948593420946
2020-01-0300:00:00,13798783827516
2020-01-0600:00:00,13798783827516
2020-01-0900:00:00,13798783827516
2020-01-1200:00:00,13798783827516
2020-01-1500:00:00,14776367535689
2020-01-1800:00:00,14776367535689
2020-01-2100:00:00,14776367535689
2020-01-2400:00:00,14776367535689
2020-01-2700:00:00,14776367535689
2020-01-3000:00:00,15466098935555
2020-02-0200:00:00,15466098935555
2020-02-0500:00:00,15466098935555
2020-02-0800:00:00,15466098935555
2020-02-1100:00:00,15521134947902.1
2020-02-1400:00:00,15546745765529
2020-02-1700:00:00,15546745765529
2020-02-2000:00:00,15546745765529
2020-02-2300:00:00,15546745765529
2020-02-2600:00:00,15486913440293
2020-02-2900:00:00,15486913440293
2020-03-0300:00:00,15486913440293
2020-03-0600:00:00,15486913440293
2020-03-09,16076772598590.7
2020-03-12,16552923967337
2020-03-15,16552923967337
2020-03-18,16552923967337
2020-03-21,16552923967337
2020-03-24,16552923967337
2020-03-27,13912524048946
2020-03-30,13912524048946
2020-04-02,13912524048946
2020-04-05,13912524048946
2020-04-08,14397482597688.1
2020-04-11,14715214060657
2020-04-14,14715214060657
2020-04-17,14715214060657
2020-04-20,14715214060657
2020-04-23,15958652328578
2020-04-26,15958652328578
2020-04-29,15958652328578
2020-05-02,15958652328578
2020-05-05,16079831604277.9
2020-05-08,16104807485529
2020-05-11,16104807485529
2020-05-14,16104807485529
2020-05-17,16104807485529
2020-05-20,15213703057048.3
2020-05-23,15138043247083
2020-05-26,15138043247083
2020-05-29,15138043247083
2020-06-01,15138043247083
2020-06-04,14477089134396.8
2020-06-07,13732352106018
2020-06-10,13732352106018
2020-06-13,13732352106018
2020-06-16,14265974077877.3
2020-06-19,15784744305477
2020-06-22,15784744305477
2020-06-25,15784744305477
2020-06-28,15784744305477
2020-07-01,15784217546288
2020-07-04,15784217546288
2020-07-07,15784217546288
2020-07-10,15784217546288
2020-07-13,16570395220715.7
2020-07-16,17345948872516
2020-07-19,17345948872516
2020-07-22,17345948872516
2020-07-25,17345948872516
2020-07-28,16847561611550
2020-07-31,16847561611550
2020-08-03,16847561611550
2020-08-06,16847561611550
2020-08-09,16847561611550
2020-08-12,16947802333947
2020-08-15,16947802333947
2020-08-18,16947802333947
2020-08-21,16947802333947
2020-08-24,17340945336075.322
2020-08-27,17557993035167
2020-08-30,17557993035167
2020-09-02,17557993035167
2020-09-05,17557993035167
2020-09-08,17345997805929
2020-09-11,17345997805929
2020-09-14,17345997805929
2020-09-17,17345997805929
2020-09-20,19148290888758.86
2020-09-23,19314656404097
2020-09-26,19314656404097
2020-09-29,19314656404097
2020-10-02,19314656404097
2020-10-05,19298087186263
2020-10-08,19298087186263
2020-10-11,19298087186263
2020-10-14,19298087186263
2020-10-17,19529685517635.715
2020-10-20,19997335994446
2020-10-23,19997335994446
2020-10-26,19997335994446
2020-10-29,19997335994446
2020-11-01,19997335994446
2020-11-0400:00:00,16787779609933
2020-11-0700:00:00,16787779609933
2020-11-1000:00:00,16787779609933
2020-11-1300:00:00,16787779609933
2020-11-1600:00:00,17040598812944.875
2020-11-1900:00:00,17596801059571
2020-11-2200:00:00,17596801059571
2020-11-2500:00:00,17596801059571
2020-11-2800:00:00,17596801059571
2020-12-0100:00:00,19157154724710
2020-12-0400:00:00,19157154724710
2020-12-0700:00:00,19157154724710
2020-12-1000:00:00,19157154724710
2020-12-1300:00:00,19144667899932.82
2020-12-1600:00:00,18670168558400
2020-12-1900:00:00,18670168558400
2020-12-2200:00:00,18670168558400
2020-12-2500:00:00,18670168558400
2020-12-2800:00:00,18600034145237.133
2020-12-3100:00:00,18599593048299
2021-01-0300:00:00,18599593048299
2021-01-0600:00:00,18599593048299
2021-01-0900:00:00,19365166707094.76
2021-01-1200:00:00,20607418304386
2021-01-1500:00:00,20607418304386
2021-01-1800:00:00,20607418304386
2021-01-2100:00:00,20607418304386
2021-01-2400:00:00,20823531150112
2021-01-2700:00:00,20823531150112
2021-01-3000:00:00,20823531150112
2021-02-0200:00:00,20823531150112
2021-02-0500:00:00,20823531150112
2021-02-0800:00:00,21434395961349
2021-02-1100:00:00,21434395961349
2021-02-1400:00:00,21434395961349
2021-02-1700:00:00,21434395961349
